code,title,points_r1_2020,points_r1_2019
PC405,Social  Political and Community Studies,253.0,251.0
PC410,Arts and Humanities (fulfils Teaching Council requ,252.0,203.0
PC411,English and History (fulfils Teaching Council requ,255.0,168.0
CR105,Chemical and Biopharmaceutical Engineering,443.0,432.0
CR106,Software Development,411.0,351.0
CR108,Mechanical Engineering,434.0,425.0
CR109,Structural Engineering,394.0,341.0
CR110,Automotive Business Management and Technology,311.0,318.0
CR112,Creative Digital Media at CIT Crawford College of,361.0,335.0
CR116,Computer Systems,332.0,318.0
CR121,Music at CIT Cork School of Music,868.0,633.0
CR125,Popular Music at CIT Cork School of Music,1088.0,972.0
CR130,Musical Theatre at CIT Cork School of Music,548.0,500.0
CR150,Business Information Systems,335.0,326.0
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,,979.0
CR220,Fine Art at CIT Crawford College of Art and Design,,620.0
CR225,Photography with New Media at CIT Crawford College,,920.0
CR305,Physical Sciences (Common Entry),282.0,279.0
CR310,IT Management,297.0,282.0
CR320,Biomedical Science - Offered jointly by CIT and UC,565.0,546.0
CR325,Pharmaceutical Biotechnology,398.0,388.0
CR333,Nutrition and Health Science,402.0,360.0
CR335,Biological Sciences (Common Entry),420.0,381.0
CR340,Analytical Chemistry with Quality Assurance,251.0,288.0
CR360,Instrument Engineering,261.0,291.0
CR365,Environmental Science and Sustainable Technology,253.0,334.0
CR370,Agri-Biosciences,397.0,408.0
CR400,Accounting,316.0,316.0
CR420,Marketing,285.0,288.0
CR425,International Business with Language,298.0,300.0
CR430,Sport and Exercise Management,322.0,
CR435,Coaching Science and Sports Pedagogy,,
CR440,Montessori Education,288.0,
CR500,Engineering (Common Entry),411.0,381.0
CR510,Sustainable Energy Engineering,320.0,319.0
CR520,Biomedical Engineering,444.0,434.0
CR560,Architectural Technology,308.0,288.0
CR565,Interior Architecture,359.0,336.0
CR570,Quantity Surveying,336.0,279.0
CR572,Construction Management,269.0,253.0
CR580,Electrical Engineering,318.0,344.0
CR590,Electronic Engineering,303.0,342.0
CR600,Visual Communications at CIT Crawford College of A,,587.0
CR660,Tourism Management,252.0,249.0
CR700,Theatre and Drama Studies at CIT Cork School of Mu,740.0,768.0
CR930,Home Economics and Business,,
CK101,Arts - 3 years,300.0,300.0
CK102,Social Science,412.0,391.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,302.0,340.0
CK105,Film and Screen Media - 3 years or 4 years (Intern,368.0,397.0
CK107,Geographical and Archaeological Sciences - 3 or 4,328.0,326.0
CK108,Arts International - 4 years,401.0,429.0
CK109,English - 3 years or 4 years (International Pathwa,318.0,347.0
CK110,World Languages,452.0,456.0
CK111,Early Years and Childhood Studies,419.0,398.0
CK112,Theatre and Performative Practices - 3 or 4 years,330.0,324.0
CK113,Criminology - 3 years or 4 years (International Pa,423.0,408.0
CK114,Social Science (Youth and Community Work),,
CK115,Social Work - Mature Applicants only,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,336.0,307.0
CK120,Applied Psychology,533.0,506.0
CK121,Psychology and Computing - 3 or 4 years (Work Expe,466.0,393.0
CK122,Government and Political Science,337.0,355.0
CK123,Anthropology,308.0,
CK124,Education - Gaeilge,463.0,
CK125,Sports Studies and Physical Education,510.0,
CK201,Commerce,477.0,465.0
CK202,Accounting,509.0,467.0
CK203,Business Information Systems,430.0,409.0
CK204,Finance,556.0,531.0
CK205,Commerce (International) with French,445.0,409.0
CK206,Commerce (International) with German,420.0,408.0
CK207,Commerce (International) with Italian,388.0,408.0
CK208,Commerce (International) with Hispanic Studies,402.0,431.0
CK209,Commerce (International) with Irish,484.0,509.0
CK211,Commerce (International) with Chinese Studies,397.0,398.0
CK212,Economics (through Transformational Learning) 3 or,444.0,400.0
CK213,Food Marketing and Entrepreneurship,462.0,
CK214,International Development,346.0,
CK301,Law (Pathways) -  3 or 4 years,507.0,476.0
CK302,Law and French,542.0,453.0
CK304,Law and Irish,540.0,462.0
CK307,Law and Business,556.0,522.0
CK401,Computer Science,468.0,402.0
CK402,Biological and Chemical Sciences,510.0,498.0
CK404,Biological  Earth and Environmental Sciences,467.0,412.0
CK405,Genetics,487.0,476.0
CK406,Chemical Sciences,485.0,457.0
CK407,Mathematical Sciences,566.0,531.0
CK408,Physics and Astrophysics,554.0,511.0
CK409,Industrial Physics - Offered jointly by UCC and CI,432.0,413.0
CK411,Data Science and Analytics,510.0,509.0
CK412,Agricultural Science,496.0,457.0
CK504,Nutritional Sciences,518.0,492.0
CK505,Food Science,441.0,444.0
CK600,Engineering,487.0,465.0
CK606,Architecture - Offered jointly by UCC and CIT,484.0,465.0
CK701,Medicine (Undergraduate Entry - HPAT required),731.0,729.0
CK702,Dentistry,613.0,590.0
CK703,Pharmacy,590.0,577.0
CK704,Occupational Therapy,566.0,532.0
CK705,Speech and Language Therapy,520.0,509.0
CK706,Public Health Sciences,454.0,419.0
CK707,Medical and Health Sciences,542.0,510.0
CK710,General Nursing,454.0,440.0
CK712,Children`s and General Nursing (Integrated),533.0,499.0
CK720,Mental Health Nursing,423.0,398.0
CK730,Intellectual Disability Nursing,419.0,359.0
CK740,Midwifery,484.0,444.0
CK791,Medicine  - Graduate Entry (GAMSAT required),57.0,58.0
AC120,International Business,209.0,234.0
AC137,Liberal Arts,252.0,252.0
CT125,Computing and IT,220.0,235.0
CT325,Business,338.0,
CM001,Education - Primary Teaching,484.0,452.0
CM002,Education - Primary Teaching - Gaeltacht Applicant,,421.0
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,528.0,491.0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,494.0,492.0
CM010,Education Studies,319.0,317.0
CM020,Early Childhood Education,327.0,336.0
DB500,Computing,218.0,242.0
DB501,Computing (Cloud Computing),227.0,326.0
DB502,Computing (Data Analytics and Big Data),341.0,269.0
DB503,Computing (Software Development),225.0,242.0
DB504,Computing (Web and Mobile Technology),,227.0
DB510,Audio Production and Music Project Management,234.0,233.0
DB512,Business Studies,218.0,229.0
DB514,Business Studies (Law),252.0,269.0
DB515,Business Studies (Human Resource Management),244.0,225.0
DB517,Marketing (Event Management),238.0,226.0
DB518,Marketing (Digital Media),,210.0
DB521,Accounting and Finance,225.0,225.0
DB524,Business (Information Systems),342.0,402.0
DB525,Marketing (Digital Media and Cloud Computing),,284.0
DB526,Business (Cloud Computing),347.0,253.0
DB527,Applied Social Care,234.0,235.0
DB531,Marketing,293.0,220.0
DB562,Psychology,243.0,208.0
DB566,Social Science,220.0,216.0
DB567,Film and Creative Media,218.0,192.0
DB568,Law,219.0,245.0
DB569,Business (Psychology),252.0,279.0
DC001,Education - Early Childhood Education,440.0,398.0
DC002,Education - Primary Teaching,488.0,462.0
DC003,Education - Primary Teaching - Gaeltacht Applicant,445.0,433.0
DC004,Education - Primary Teaching (Church of Ireland Ce,411.0,357.0
DC009,Arts (Joint Honours) - Humanities,376.0,347.0
DC010,Post Primary Teacher Education - Religious Educati,441.0,386.0
DC011,Post Primary Teacher Education - Religious Educati,412.0,352.0
DC012,Post Primary Teacher Education - Religious Educati,378.0,367.0
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,419.0,410.0
DC014,BA in Jazz and Contemporary Music Performance (aud,419.0,428.0
DC110,Business Studies International,465.0,440.0
DC111,Business Studies,488.0,463.0
DC112,Global Business (France),517.0,495.0
DC113,Global Business (Germany),462.0,440.0
DC114,Global Business (Spain),522.0,501.0
DC115,Accounting and Finance,510.0,487.0
DC116,Global Business (USA),579.0,578.0
DC117,Aviation Management / Aviation Management with Pil,476.0,463.0
DC118,Gná agus Gaeilge / Business and Irish,359.0,357.0
DC119,Global Business (Canada),564.0,566.0
DC120,Computing for Business,357.0,350.0
DC121,Computer Science,400.0,370.0
DC123,Data Science,465.0,467.0
DC126,Actuarial Mathematics,560.0,520.0
DC127,Common Entry into Actuarial and Financial Mathemat,532.0,509.0
DC131,Communication Studies,407.0,400.0
DC132,Journalism,429.0,401.0
DC133,Multimedia,411.0,403.0
DC155,Applied Language and Translation Studies,387.0,371.0
DC161,Analytical Science,498.0,446.0
DC162,Chemical and Pharmaceutical Sciences,521.0,488.0
DC163,Chemical Sciences General Entry (Undenominated Ent,,
DC166,Environmental Science and Technology,433.0,412.0
DC168,Genetics and Cell Biology,512.0,489.0
DC175,Physics General Entry (options),419.0,
DC180,Biological Sciences General Entry (Undenominated E,,
DC181,Biotechnology,499.0,476.0
DC190,Electronic and Computer Engineering (with choice o,413.0,391.0
DC193,Mechatronic Engineering,411.0,404.0
DC194,Sustainable Systems and Energy,,
DC195,Mechanical and Manufacturing Engineering,425.0,401.0
DC197,Biomedical Engineering,423.0,402.0
DC200,Common Entry into Engineering (Undenominated Entry,422.0,381.0
DC202,Sport Science and Health,500.0,467.0
DC203,Science Education,435.0,424.0
DC204,Athletic Therapy and Training,522.0,484.0
DC205,Physical Education with Biology,531.0,490.0
DC206,Physical Education with Mathematics,499.0,443.0
DC207,Psychology and Mathematics,,
DC208,Psychology,532.0,509.0
DC209,Health and Society,465.0,419.0
DC210,Psychology and Disruptive Technologies,,
DC215,General Nursing,454.0,414.0
DC216,Mental Health Nursing,418.0,368.0
DC217,Intellectual Disability Nursing,370.0,347.0
DC218,Children`s and General Nursing (Integrated),500.0,467.0
DC230,Economics  Politics and Law,435.0,400.0
DC231,International Relations,397.0,387.0
DC232,Law and Society (BCL),466.0,453.0
DC235,Education and Training - Daytime and Flexible Deli,309.0,307.0
DC238,Social Sciences and Cultural Innovation,377.0,358.0
DC240,Marketing  Innovation and Technology,476.0,451.0
DC241,Digital Business and Innovation,,
DC291,Arts (Joint Honours) - Media Studies,376.0,349.0
DC292,Arts (Joint Honours) - Law,403.0,356.0
DC293,Arts (Joint Honours) - International Languages,377.0,369.0
DC294,Climate and Environmental Sustainability,,
DC295,Arts (Joint Honours) - Politics,376.0,348.0
DL822,Arts Management,229.0,209.0
DL823,Business Management,235.0,260.0
DL825,Applied Psychology,379.0,349.0
DL826,Graphic Design,855.0,736.0
DL827,Art,572.0,583.0
DL832,Animation,920.0,855.0
DL833,Photography and Visual Media,650.0,636.0
DL836,Creative Computing,219.0,217.0
DL837,New Media Studies,201.0,290.0
DL838,Creative Music Production,754.0,746.0
DL839,Interaction and User Experience Design,683.0,
DL840,Digital Marketing,228.0,
DL841,English and Equality Studies,276.0,
DL843,Film,,
DL844,Television,,
DL845,Design for Film (degree options),,
GC200,Business,252.0,269.0
GC201,Accounting and Finance,303.0,251.0
GC230,Computing Science,335.0,228.0
GC300,Business,429.0,251.0
GC301,Accounting and Finance,253.0,307.0
GC302,Business - HRM,,269.0
GC307,Business (Marketing),,
GC400,Business,248.0,246.0
GC401,Accounting and Finance,240.0,181.0
GC402,Business (HRM),264.0,217.0
GC403,Law,244.0,225.0
GC407,Business (Marketing),280.0,246.0
GC430,Computing Science,252.0,217.0
GC450,Communications and Media Production,254.0,227.0
GC462,Design Communication (portfolio),,
GC489,Interior Architecture (portfolio),254.0,267.0
GC494,Fashion Design (portfolio),337.0,
BY001,Business,,
ID001,Accounting and Finance,203.0,229.0
ID002,Business Studies,294.0,285.0
AD101,First Year Art and Design (Common Entry portfolio),,0.0
AD102,Graphic Design and Moving Image Design (portfolio),,0.0
AD103,Textile and Surface Design and Jewellery and Objec,,0.0
AD202,Education and Design or Fine Art (Second Level Tea,,0.0
AD204,Fine Art (portfolio),,0.0
AD211,Fashion Design (portfolio),,0.0
AD212,Product Design (portfolio),,0.0
AD215,Visual Culture,377.0,300.0
AD217,Illustration (portfolio),,0.0
AD222,Interaction Design (portfolio),,0.0
NC003,Computing (Degree Award options),260.0,261.0
NC005,Human Resource Management,300.0,297.0
NC009,Business,300.0,297.0
NC010,Psychology,400.0,366.0
NC020,Marketing Practice,280.0,270.0
NC022,Accounting and Finance,337.0,338.0
NC023,Technology Management (with specialisations),261.0,260.0
NC030,Early Childhood Education and Care,,
RC001,Medicine - Undergraduate Entry (HPAT required),733.0,729.0
RC004,Physiotherapy,566.0,532.0
RC005,Pharmacy,579.0,555.0
RC101,Medicine - Graduate Entry (GAMSAT required),,60.0
NM801,Montessori Education,220.0,
NM802,Psychology,,
TU801,Sustainable Energy Engineering,235.0,
TU802,Electrical Services and Energy Management,317.0,
TU804,Engineering (Common Entry with Award options),271.0,
TU805,Engineering (General Entry),402.0,
TU807,Computer Engineering in Mobile Systems,276.0,
TU810,Mechatronic Engineering,270.0,
TU811,Product Design,411.0,
TU812,Design Technology and Innovation,270.0,
TU814,Sustainable Transport Management,285.0,
TU828,Mechanical Engineering (General Entry),,
TU829,Electronic Engineering (General Entry),,
TU831,Architectural Technology,410.0,
TU832,Architecture (Suitability Test and Interview),622.0,
TU833,Construction Management,367.0,
TU834,Geographic Science,288.0,
TU835,Planning and Environmental Management,313.0,
TU836,Property Economics (Valuation Surveying),401.0,
TU837,Quantity Surveying and Construction Economics,385.0,
TU838,Sustainable Timber Technology,,
TU851,Analytical Chemistry (Environmental  Forensic and,349.0,
TU852,Chemical Sciences with Medicinal Chemistry,476.0,
TU854,Science (General Entry),476.0,
TU855,Science with Nanotechnology,331.0,
TU856,Computer Science,476.0,
TU857,Computer Science (Infrastructure),391.0,
TU858,Computer Science (International),377.0,
TU859,Computing,217.0,
TU860,Computing (Information Technology),260.0,
TU861,Computing with Language (French/German/Spanish),308.0,
TU862,Computing with Artificial Intelligence Machine Lea,226.0,
TU863,Digital Forensics and Cyber Security,280.0,
TU864,DNA and Forensic Analysis,400.0,
TU865,Cloud Computing,226.0,
TU866,Biomedical and Molecular Diagnostics,487.0,
TU867,Biomedical Science,524.0,
TU868,Clinical Measurement Science,510.0,
TU869,Environmental Health,336.0,
TU870,Human Nutrition and Dietetics,578.0,
TU871,Optometry,509.0,
TU872,Public Health Nutrition,491.0,
TU874,Mathematical Sciences,341.0,
TU875,Pharmaceutical Healthcare,400.0,
TU876,Pharmaceutical Science,377.0,
TU877,Physics Technology,308.0,
TU878,Physics with Energy and Environment,337.0,
TU879,Physics with Medical Physics and Bioengineering,351.0,
TU880,Physics with Data Science,578.0,
TU881,Food Innovation,318.0,
TU882,Nutraceuticals in Health and Nutrition,397.0,
TU902,Business (options),271.0,
TU903,Business and Management,463.0,
TU904,Business and Law,462.0,
TU905,Economics and Finance,465.0,
TU906,Human Resource Management,395.0,
TU907,Logistics and Supply Chain Management,300.0,
TU910,Accounting,444.0,
TU912,Business Analytics,330.0,
TU914,Business Computing,324.0,
TU917,Law (LLB ) with a Language,342.0,
TU918,Law (LLB),451.0,
TU919,Advertising and Marketing Communications,228.0,
TU920,Digital Marketing,270.0,
TU921,Digital Marketing Technologies,212.0,
TU922,Marketing,418.0,
TU924,E-Commerce in Retailing,307.0,
TU925,Retail and Services Management,301.0,
TU932,Business (options),,
TU933,Accounting and Finance (campus options),,
TU935,Sports Management and Coaching,300.0,
TU936,Sports Science and Health,410.0,
TU941,Botanical Cuisine,249.0,
TU942,Culinary Arts,212.0,
TU943,Culinary Entrepreneurship,278.0,
TU944,Culinary Science,316.0,
TU951,International Hospitality and Tourism Management,184.0,
TU952,International Hospitality Management,300.0,
TU953,Tourism and Digital Marketing,290.0,
TU954,Event Management,356.0,
TU955,Sports and Leisure Management,217.0,
TU961,Commercial Modern Music (BIMM - assessment/auditio,608.0,
TU962,Drama (Performance  audition),379.0,
TU963,Music (audition),416.0,
TU965,International Business and Languages,356.0,
TU967,Languages and International Tourism,308.0,
TU973,Design - Visual Communication (portfolio),717.0,
TU974,Fine Art (portfolio),709.0,
TU975,Interior Design (portfolio),632.0,
TU976,Photography (portfolio),695.0,
TU978,Creative Industries and Visual Culture,,
TU981,Creative Digital Media,280.0,
TU982,Media Production and Digital Arts,320.0,
TU983,Film and Broadcasting,456.0,
TU984,Game Design,381.0,
TU985,Journalism,322.0,
TU989,Early Childhood Care and Education (campus options,,
TU991,Applied Social Studies in Social Care,325.0,
TU992,Community Development and Youth Work,251.0,
TU995,Early Childhood Education,367.0,
TU996,Social Care,400.0,
TU997,Applied Social Care,310.0,
TR002,Music,435.0,414.0
TR003,History,497.0,486.0
TR004,Law,566.0,532.0
TR005,Philosophy,442.0,391.0
TR006,Psychology,567.0,555.0
TR007,Clinical Speech and Language Studies,529.0,499.0
TR009,Music Education,420.0,430.0
TR015,Philosophy  Political Science  Economics and Socio,589.0,566.0
TR016,Deaf Studies,340.0,337.0
TR018,Law and French,565.0,532.0
TR019,Law and German,543.0,523.0
TR021,Classics  Ancient History and Archaeology,370.0,377.0
TR022,Early and Modern Irish,398.0,347.0
TR023,English Studies,487.0,463.0
TR024,European Studies,544.0,520.0
TR025,Drama and Theatre Studies,564.0,489.0
TR028,Ancient and Medieval History and Culture,342.0,339.0
TR031,Mathematics,531.0,566.0
TR032,Engineering,510.0,487.0
TR033,Computer Science,509.0,465.0
TR034,Management Science and Information Systems Studies,613.0,589.0
TR035,Theoretical Physics,543.0,554.0
TR038,Engineering with Management,532.0,499.0
TR039,Computer Science  Linguistics and a Language,454.0,435.0
TR040,Middle Eastern and European Languages and Cultures,466.0,485.0
TR041,Religion,368.0,347.0
TR042,Film,489.0,
TR043,History of Art and Architecture,393.0,
TR051,Medicine (HPAT required),735.0,730.0
TR052,Dental Science,613.0,590.0
TR053,Physiotherapy,566.0,533.0
TR054,Occupational Therapy,533.0,500.0
TR055,Radiation Therapy,543.0,510.0
TR056,Human Health and Disease,565.0,543.0
TR060,Biological and Biomedical Sciences,543.0,510.0
TR061,Chemical Sciences,517.0,488.0
TR062,Geography and Geoscience,473.0,435.0
TR063,Physical Sciences,498.0,498.0
TR064,Environmental Science and Engineering,,
TR072,Pharmacy,590.0,555.0
TR080,Global Business,589.0,565.0
TR081,Business  Economic and Social Studies (BESS),543.0,518.0
TR084,Social Studies (Social Work),462.0,420.0
TR085,Business Studies and French,540.0,509.0
TR086,Business Studies and German,509.0,474.0
TR087,Business Studies and Russian,474.0,467.0
TR089,Business Studies and Polish,444.0,393.0
TR090,Business Studies and Spanish,531.0,510.0
TR091,General Nursing (Meath and St James`s),429.0,393.0
TR093,General Nursing (Adelaide School of Nursing),430.0,378.0
TR095,Mental Health Nursing,408.0,358.0
TR097,Intellectual Disability Nursing,396.0,346.0
TR911,Children`s and General Nursing (Integrated),511.0,476.0
TR913,Midwifery,478.0,423.0
DN100,Architecture,510.0,473.0
DN120,Landscape Architecture,407.0,353.0
DN130,City Planning and Environmental Policy,407.0,367.0
DN150,Engineering (Common Entry),531.0,511.0
DN200,Science (options),533.0,521.0
DN201,Computer Science (Common Entry),510.0,488.0
DN230,Actuarial and Financial Studies,601.0,577.0
DN240,Sustainability,440.0,
DN250,Agricultural Science (options),456.0,420.0
DN261,Food Science,477.0,434.0
DN262,Human Nutrition,531.0,493.0
DN300,Veterinary Medicine - Undergraduate Entry,589.0,567.0
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
DN310,Veterinary Nursing,478.0,441.0
DN400,Medicine - Undergraduate Entry (HPAT required),737.0,735.0
DN401,Medicine - Graduate Entry (GAMSAT required),,59.0
DN410,Radiography,534.0,507.0
DN411,Radiography - Graduate Entry,,
DN420,Physiotherapy,578.0,542.0
DN425,Health and Performance Science,510.0,488.0
DN430,Sport and Exercise Management,455.0,436.0
DN440,Biomedical  Health and Life Sciences,590.0,565.0
DN450,General Nursing,429.0,398.0
DN451,Children`s and General Nursing (Integrated),509.0,462.0
DN452,Midwifery,489.0,409.0
DN453,Mental Health Nursing,397.0,379.0
DN520,Joint Honours (options),310.0,336.0
DN530,Humanities (options),340.0,348.0
DN541,Modern Languages (options),303.0,348.0
DN600,Law (options),546.0,520.0
DN610,Business and Law,545.0,521.0
DN650,Commerce,521.0,498.0
DN660,Commerce International (options),517.0,507.0
DN670,Economics and Finance,613.0,601.0
DN700,Social Sciences (options),421.0,388.0
DN710,Economics,498.0,476.0
DN720,Psychology,530.0,517.0
DN750,Social Policy and Sociology,378.0,330.0
DK810,Accounting and Finance,305.0,306.0
DK816,Business Studies,300.0,300.0
DK820,Computing in Games Development,311.0,307.0
DK821,Computing in Software Development,302.0,301.0
DK822,Augmented and Virtual Reality,307.0,
DK830,Building Surveying,336.0,302.0
DK831,Architectural Technology,389.0,301.0
DK832,Construction Management,387.0,300.0
DK843,Engineering (Common Entry),340.0,303.0
DK844,Mechanical Engineering,305.0,
DK845,Electrical and Electronic Engineering,304.0,
DK846,Civil Engineering,391.0,
DK850,International Tourism Management,317.0,
DK861,Arts,302.0,300.0
DK862,Social Care,301.0,300.0
DK863,Creative Media,308.0,300.0
DK864,Film and Television Production,300.0,300.0
DK865,Audio and Music Production,301.0,301.0
DK870,General Nursing,403.0,392.0
DK872,Intellectual Disability Nursing,336.0,300.0
DK874,Mental Health Nursing,356.0,356.0
DK876,Early Childhood Studies,321.0,305.0
DK877,Midwifery,440.0,398.0
DK880,Health and Physical Activity,328.0,300.0
DK882,Agriculture (Award options),310.0,303.0
DK883,Science (Award options),358.0,300.0
DK884,Sustainable Agriculture,,
DK885,Agri-Food Production,,
DK886,Biopharmaceutical Science,301.0,
DK887,Environmental Science,330.0,
GA181,Accounting,309.0,303.0
GA182,Business,287.0,290.0
GA183,Business Information Systems,296.0,309.0
GA184,Marketing and Sales,307.0,307.0
GA185,Finance and Economics,293.0,307.0
GA186,Business with Entrepreneurship,280.0,297.0
GA187,Rural Enterprise and Agri-Business,281.0,280.0
GA281,Film and Documentary,304.0,287.0
GA282,Heritage Studies,220.0,238.0
GA283,Contemporary Art (portfolio),679.0,260.0
GA284,Design,303.0,309.0
GA285,Education (Art  Design and Graphics),,
GA380,International Hotel Management,242.0,225.0
GA381,International Tourism Management,278.0,261.0
GA382,Culinary and Gastronomic Science,206.0,225.0
GA384,Event Management with Public Relations,212.0,209.0
GA480,Construction Management,260.0,260.0
GA482,Quantity Surveying and Construction Economics,288.0,280.0
GA483,Architectural Technology,265.0,251.0
GA484,Civil Engineering,290.0,270.0
GA580,Software and Electronic Engineering,300.0,301.0
GA680,Mechanical Engineering,330.0,336.0
GA681,Energy Engineering,293.0,281.0
GA682,Biomedical Engineering,313.0,331.0
GA683,Agricultural Engineering,309.0,301.0
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,340.0,346.0
GA685,Manufacturing Engineering Design,309.0,
GA780,Applied Freshwater and Marine Biology,327.0,300.0
GA781,Applied Biology and Biopharmaceutical Science,337.0,317.0
GA782,Chemical and Pharmaceutical Science,336.0,307.0
GA783,Physics and Instrumentation,363.0,373.0
GA784,Science (Undenominated),372.0,327.0
GA785,Medical Science,473.0,451.0
GA786,Forensic Science and Analysis,317.0,300.0
GA787,Computing in Software Development,270.0,275.0
GA788,Computing and Digital Media,274.0,270.0
GA789,Agriculture and Environmental Management,287.0,297.0
GA790,Sport and Exercise Science,356.0,350.0
GA791,Public Health Nutrition,368.0,364.0
GA880,General Nursing,429.0,389.0
GA882,Psychiatric Nursing,367.0,346.0
GA885,Outdoor Education,252.0,210.0
GA887,History and Geography,244.0,228.0
GA889,Applied Social Care,266.0,260.0
GA890,Early Childhood Education and Care,270.0,278.0
GA891,Geography and Outdoor Education,244.0,
GA892,Community Development and Youth Work (Level 8),,
GA980,Education (Design Graphics and Construction),377.0,376.0
GA981,Furniture Design and Manufacture,,271.0
GA982,Furniture Making and Architectural Woodworking,,270.0
GA983,Furniture and Digital Manufacturing,,
GA984,Furniture Design  Making and Technology - Common E,284.0,
GY101,Arts (Joint-Honours),300.0,300.0
GY104,BSc (Psychology),523.0,507.0
GY105,Arts (History),301.0,318.0
GY109,Arts (Mathematics and Education),403.0,411.0
GY110,Arts (Children and Youth Studies - options),357.0,382.0
GY111,Arts (English and Creative Writing),330.0,402.0
GY113,Arts with Human Rights,368.0,338.0
GY115,Arts with Performing Arts Studies,387.0,328.0
GY118,Arts (Drama  Theatre and Performance Studies),451.0,410.0
GY119,Arts (Journalism),400.0,410.0
GY122,Na Dána (Cumarsáid agus Gaeilge),361.0,308.0
GY123,Applied Social Sciences,358.0,357.0
GY125,Arts (Digital Arts and Technology),328.0,324.0
GY127,Arts (Film and Digital Media),401.0,387.0
GY128,Arts (Global Languages),352.0,370.0
GY129,Arts (Global Experience),420.0,408.0
GY130,Arts (Music),408.0,400.0
GY132,Government (Politics  Economics and Law),407.0,402.0
GY133,Education (Computer Science and Mathematical Studi,422.0,401.0
GY134,Geography and Geosystems,410.0,
GY135,Arts (Global Media),,
GY136,Na Dána (Léann Teanga - options),,
GY201,Commerce,433.0,420.0
GY202,Commerce (International) with French,484.0,484.0
GY203,Commerce (International) with German,489.0,489.0
GY204,Commerce (International) with Spanish,495.0,484.0
GY206,Business Information Systems (Work Placement and O,465.0,431.0
GY207,Commerce (Accounting) including optional Global Ex,509.0,486.0
GY208,Commerce (Gaeilge),473.0,473.0
GY209,Commerce (Global Experience),530.0,509.0
GY250,Law and Business,487.0,436.0
