code,title,points_r1_2021,points_r1_2020,points_r1_2019
CR435,Coaching Science and Sports Pedagogy,410,,
CR440,Montessori Education,409,288,
CR500,Engineering (Common Entry),475,411,381
CR510,Sustainable Energy Engineering,320,320,319
CR520,Biomedical Engineering,444,444,434
CR560,Architectural Technology,375,308,288
CR565,Interior Architecture,431,359,336
CR570,Quantity Surveying,375,336,279
CR572,Construction Management,300,269,253
CR580,Electrical Engineering,342,318,344
CR590,Electronic Engineering,329,303,342
CR600,Visual Communications at CIT Crawford College of A,#280,#+matric,#587
CR660,Tourism Management,246,252,249
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#609,740,#768
CR930,Home Economics and Business,518*,,
CK101,Arts - 3 years,300,300,300
CK102,Social Science,434,412,391
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#339,302,#340
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,368,397
CK107,Geographical and Archaeological Sciences - 3 or 4,312,328,326
CK108,Arts International - 4 years,440*,401,429
CK109,English - 3 years or 4 years (International Pathwa,367,318,347
CK110,World Languages,488,452,456
CK111,Early Years and Childhood Studies,409,419,398
CK112,Theatre and Performative Practices - 3 or 4 years,#371,330,#324
CK113,Criminology - 3 years or 4 years (International Pa,464,423,408
CK114,Social Science (Youth and Community Work),#,,#
CK115,Social Work - Mature Applicants only,,,#
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,336,307
CK120,Applied Psychology,544,533,506
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,466,393
CK122,Government and Political Science,399,337,355
CK123,Anthropology,308,308,
CK124,Education - Gaeilge,473,463,
CK125,Sports Studies and Physical Education,564,510,
CK201,Commerce,500,477,465*
CK202,Accounting,553,509,467
CK203,Business Information Systems,455,430,409
CK204,Finance,566*,556,531
CK205,Commerce (International) with French,465,445,409
CK206,Commerce (International) with German,466,420,408
CK207,Commerce (International) with Italian,423,388,408
CK208,Commerce (International) with Hispanic Studies,488,402,431
CK209,Commerce (International) with Irish,507,484,509
CK211,Commerce (International) with Chinese Studies,385,397,398
CK212,Economics (through Transformational Learning) 3 or,445,444,400
CK213,Food Marketing and Entrepreneurship,466,462,
CK214,International Development,332,346,
CK301,Law (Pathways) -  3 or 4 years,533,507,476
CK302,Law and French,545,542,453
CK304,Law and Irish,588,540,462
CK307,Law and Business,589*,556,522
CK401,Computer Science,503,468,402
CK402,Biological and Chemical Sciences,555*,510,498
CK404,Biological  Earth and Environmental Sciences,500,467,412
CK405,Genetics,543,487,476
CK406,Chemical Sciences,532,485,457
CK407,Mathematical Sciences,566,566,531
CK408,Physics and Astrophysics,566,554,511
CK409,Industrial Physics - Offered jointly by UCC and CI,465,432,413
CK411,Data Science and Analytics,531,510,509
CK412,Agricultural Science,506,496,457
CK504,Nutritional Sciences,555,518,492
CK505,Food Science,463,441,444
CK600,Engineering,510,487,465
CK606,Architecture - Offered jointly by UCC and CIT,543,484,465
CK701,Medicine (Undergraduate Entry - HPAT required),#738,731,#729
CK702,Dentistry,625*,613,590
CK703,Pharmacy,613*,590,577
CK704,Occupational Therapy,601*,566,532*
CK705,Speech and Language Therapy,568,520,509
CK706,Public Health Sciences,500,454,419
CK707,Medical and Health Sciences,578*,542,510*
CK710,General Nursing,498*,454,440
CK712,Children`s and General Nursing (Integrated),565,533,499
CK720,Mental Health Nursing,455,423,398
CK730,Intellectual Disability Nursing,431,419,359
CK740,Midwifery,509*,484,444
CK791,Medicine  - Graduate Entry (GAMSAT required),#60*,57,#58*
AC120,International Business,294,209,234
AC137,Liberal Arts,271,252,252
CT125,Computing and IT,242,220,235
CT325,Business,253,338,
CM001,Education - Primary Teaching,508,484,452*
CM002,Education - Primary Teaching - Gaeltacht Applicant,#462,,#421
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#513,528,#491
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#480,494,#492
CM010,Education Studies,382,319,317
CM020,Early Childhood Education,317,327,336
DB500,Computing,234,218,242
DB501,Computing (Cloud Computing),,227,326
DB502,Computing (Data Analytics and Big Data),267,341,269
DB503,Computing (Software Development),,225,242
DB504,Computing (Web and Mobile Technology),,,227
DB510,Audio Production and Music Project Management,217,234,233
DB512,Business Studies,243,218,229
DB514,Business Studies (Law),239,252,269
DB515,Business Studies (Human Resource Management),242,244,225
DB517,Marketing (Event Management),233,238,226
DB518,Marketing (Digital Media),307,,210
DB521,Accounting and Finance,243,225,225
DB524,Business (Information Systems),247,342,402
DB525,Marketing (Digital Media and Cloud Computing),288,,284
DB526,Business (Cloud Computing),244,347,253
DB527,Applied Social Care,254,234,235
DB531,Marketing,288,293,220
DB562,Psychology,244,243,208
DB566,Social Science,262,220,216
DB567,Film and Creative Media,245,218,192
DB568,Law,254,219,245
DB569,Business (Psychology),240,252,279
DC001,Education - Early Childhood Education,445,440,398
DC002,Education - Primary Teaching,518*,488,462*
DC003,Education - Primary Teaching - Gaeltacht Applicant,#489,445,#433
DC004,Education - Primary Teaching (Church of Ireland Ce,#451,411,#357
DC009,Arts (Joint Honours) - Humanities,356,376,347
DC010,Post Primary Teacher Education - Religious Educati,384,441,386
DC011,Post Primary Teacher Education - Religious Educati,409,412,352
DC012,Post Primary Teacher Education - Religious Educati,409,378,#367
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,419,410
DC014,BA in Jazz and Contemporary Music Performance (aud,#311,419,#428
DC110,Business Studies International,498,465,440
DC111,Business Studies,511,488,463
DC112,Global Business (France),542*,517,495
DC113,Global Business (Germany),484,462,440
DC114,Global Business (Spain),544,522,501
DC115,Accounting and Finance,544,510,487
DC116,Global Business (USA),613*,579,578
DC117,Aviation Management / Aviation Management with Pil,484,476,463
DC118,Gná agus Gaeilge / Business and Irish,368,359,357
DC119,Global Business (Canada),601,564,566
DC120,Computing for Business,403,357,350
DC121,Computer Science,475,400,370
DC123,Data Science,501,465,467
DC126,Actuarial Mathematics,577*,560,520
DC127,Common Entry into Actuarial and Financial Mathemat,541,532,509
DC131,Communication Studies,421,407,400
DC132,Journalism,452,429,401
DC133,Multimedia,435,411,403
DC155,Applied Language and Translation Studies,427,387,371
DC161,Analytical Science,498,498,446
DC162,Chemical and Pharmaceutical Sciences,531*,521,488
DC163,Chemical Sciences General Entry (Undenominated Ent,466*,,
DC166,Environmental Science and Technology,423*,433,412
DC168,Genetics and Cell Biology,543*,512,489
DC175,Physics General Entry (options),400,419,
DC180,Biological Sciences General Entry (Undenominated E,530,,
DC181,Biotechnology,530,499,476
DC190,Electronic and Computer Engineering (with choice o,488,413,391
DC193,Mechatronic Engineering,490,411,404
DC194,Sustainable Systems and Energy,476,,
DC195,Mechanical and Manufacturing Engineering,500,425,401
DC197,Biomedical Engineering,510,423,402
DC200,Common Entry into Engineering (Undenominated Entry,511,422,381
DC202,Sport Science and Health,511,500,467
DC203,Science Education,462,435,424
DC204,Athletic Therapy and Training,558,522,484
DC205,Physical Education with Biology,565,531,490
DC206,Physical Education with Mathematics,521,499,443
DC207,Psychology and Mathematics,521,,
DC208,Psychology,565,532,509
DC209,Health and Society,477,465,419
DC210,Psychology and Disruptive Technologies,506,,
DC215,General Nursing,456*,454,414
DC216,Mental Health Nursing,420,418,368
DC217,Intellectual Disability Nursing,382,370,347
DC218,Children`s and General Nursing (Integrated),521*,500,467
DC230,Economics  Politics and Law,431,435,400
DC231,International Relations,398,397,387
DC232,Law and Society (BCL),469,466,453
DC235,Education and Training - Daytime and Flexible Deli,302,309,307
DC238,Social Sciences and Cultural Innovation,387,377,358
DC240,Marketing  Innovation and Technology,499,476,451
DC241,Digital Business and Innovation,509,,
DC291,Arts (Joint Honours) - Media Studies,350,376,349
DC292,Arts (Joint Honours) - Law,400,403,356
DC293,Arts (Joint Honours) - International Languages,379,377,369
DC294,Climate and Environmental Sustainability,475,,
DC295,Arts (Joint Honours) - Politics,349,376,348
DL822,Arts Management,254,229,209
DL823,Business Management,220,235,260
DL825,Applied Psychology,418,379,349
DL826,Graphic Design,#591,855,#736
DL827,Art,#574,572,#583
DL832,Animation,#989,920,#855
DL833,Photography and Visual Media,#671,650,#636
DL836,Creative Computing,235,219,217
DL837,New Media Studies,298,201,290
DL838,Creative Music Production,#713,754,#746
DL839,Interaction and User Experience Design,#757,683,
DL840,Digital Marketing,210,228,
DL841,English and Equality Studies,277,276,
DL843,Film,#987,,
DL844,Television,#566,,
DL845,Design for Film (degree options),#628,,
GC200,Business,269,252,269
GC201,Accounting and Finance,260,303,251
GC230,Computing Science,300,335,228
GC300,Business,264,429,251
GC301,Accounting and Finance,,253,307
GC302,Business - HRM,377,,269
GC307,Business (Marketing),289,,
GC400,Business,250,248,246
GC401,Accounting and Finance,242,240,181
GC402,Business (HRM),,264,217
GC403,Law,245,244,225
GC407,Business (Marketing),264,280,246
GC430,Computing Science,251,252,217
GC450,Communications and Media Production,225,254,227
GC462,Design Communication (portfolio),#300,,
GC489,Interior Architecture (portfolio),#288,254,#267
GC494,Fashion Design (portfolio),#351,337,#
BY001,Business,210,,
ID001,Accounting and Finance,,203,229
ID002,Business Studies,,294,285
AD101,First Year Art and Design (Common Entry portfolio),#554,#+matric,# +mat
AD102,Graphic Design and Moving Image Design (portfolio),#538,#+matric,# +mat
AD103,Textile and Surface Design and Jewellery and Objec,#505,#+matric,# +mat
AD202,Education and Design or Fine Art (Second Level Tea,#591,#+matric,# +mat
AD204,Fine Art (portfolio),#514,#+matric,# +mat
AD211,Fashion Design (portfolio),#760,#+matric,# +mat
AD212,Product Design (portfolio),#413,#+matric,# +mat
AD215,Visual Culture,337,377,300
AD217,Illustration (portfolio),#738,#+matric,# +mat
AD222,Interaction Design (portfolio),#444,#+matric,# +mat
NC003,Computing (Degree Award options),271,260,261
NC005,Human Resource Management,301,300,297
NC009,Business,300,300,297
NC010,Psychology,420,400,366
NC020,Marketing Practice,270,280,270
NC022,Accounting and Finance,330,337,338
NC023,Technology Management (with specialisations),266,261,260
NC030,Early Childhood Education and Care,251,,
RC001,Medicine - Undergraduate Entry (HPAT required),#741,733,#729
RC004,Physiotherapy,589*,566,532*
RC005,Pharmacy,613*,579,555
RC101,Medicine - Graduate Entry (GAMSAT required),,,#60
NM801,Montessori Education,262,220,
NM802,Psychology,228,,
TU801,Sustainable Energy Engineering,235,235,
TU802,Electrical Services and Energy Management,309,317,
TU804,Engineering (Common Entry with Award options),270,271,
TU805,Engineering (General Entry),466,402,
TU807,Computer Engineering in Mobile Systems,274,276,
TU810,Mechatronic Engineering,271,270,
TU811,Product Design,440,411,
TU812,Design Technology and Innovation,278,270,
TU814,Sustainable Transport Management,253,285,
TU828,Mechanical Engineering (General Entry),300,,
TU829,Electronic Engineering (General Entry),248,,
TU831,Architectural Technology,423,410,
TU832,Architecture (Suitability Test and Interview),#644,622,
TU833,Construction Management,396,367,
TU834,Geographic Science,315,288,
TU835,Planning and Environmental Management,330,313,
TU836,Property Economics (Valuation Surveying),411,401,
TU837,Quantity Surveying and Construction Economics,413,385,
TU838,Sustainable Timber Technology,307,,
TU851,Analytical Chemistry (Environmental  Forensic and,400,349,
TU852,Chemical Sciences with Medicinal Chemistry,477,476,
TU854,Science (General Entry),510,476,
TU855,Science with Nanotechnology,322,331,
TU856,Computer Science,499,476,
TU857,Computer Science (Infrastructure),403,391,
TU858,Computer Science (International),395,377,
TU859,Computing,251,217,
TU860,Computing (Information Technology),270,260,
TU861,Computing with Language (French/German/Spanish),235,308,
TU862,Computing with Artificial Intelligence Machine Lea,262,226,
TU863,Digital Forensics and Cyber Security,282,280,
TU864,DNA and Forensic Analysis,500,400,
TU865,Cloud Computing,235,226,
TU866,Biomedical and Molecular Diagnostics,522,487,
TU867,Biomedical Science,576,524,
TU868,Clinical Measurement Science,542,510,
TU869,Environmental Health,387,336,
TU870,Human Nutrition and Dietetics,601*,578,
TU871,Optometry,532,509,
TU872,Public Health Nutrition,487,491,
TU874,Mathematical Sciences,294,341,
TU875,Pharmaceutical Healthcare,451,400,
TU876,Pharmaceutical Science,445,377,
TU877,Physics Technology,314,308,
TU878,Physics with Energy and Environment,339,337,
TU879,Physics with Medical Physics and Bioengineering,346,351,
TU880,Physics with Data Science,412,578,
TU881,Food Innovation,309,318,
TU882,Nutraceuticals in Health and Nutrition,380,397,
TU902,Business (options),270,271,
TU903,Business and Management,477,463,
TU904,Business and Law,462,462,
TU905,Economics and Finance,460,465,
TU906,Human Resource Management,386,395,
TU907,Logistics and Supply Chain Management,300,300,
TU910,Accounting,420,444,
TU912,Business Analytics,331,330,
TU914,Business Computing,322,324,
TU917,Law (LLB ) with a Language,356,342,
TU918,Law (LLB),463,451,
TU919,Advertising and Marketing Communications,219,228,
TU920,Digital Marketing,270,270,
TU921,Digital Marketing Technologies,230,212,
TU922,Marketing,412,418,
TU924,E-Commerce in Retailing,307,307,
TU925,Retail and Services Management,307,301,
TU932,Business (options),211,,
TU933,Accounting and Finance (campus options),251,,
TU935,Sports Management and Coaching,300,300,
TU936,Sports Science and Health,484,410,
TU941,Botanical Cuisine,311,249,
TU942,Culinary Arts,252,212,
TU943,Culinary Entrepreneurship,261,278,
TU944,Culinary Science,336,316,
TU951,International Hospitality and Tourism Management,244,184,
TU952,International Hospitality Management,309,300,
TU953,Tourism and Digital Marketing,308,290,
TU954,Event Management,326,356,
TU955,Sports and Leisure Management,275,217,
TU961,Commercial Modern Music (BIMM - assessment/auditio,#536,608,
TU962,Drama (Performance  audition),#448,379,
TU963,Music (audition),#364,416,
TU965,International Business and Languages,357,356,
TU967,Languages and International Tourism,298,308,
TU973,Design - Visual Communication (portfolio),#700,717,
TU974,Fine Art (portfolio),#549,709,
TU975,Interior Design (portfolio),#544,632,
TU976,Photography (portfolio),#700,695,
TU978,Creative Industries and Visual Culture,299,,
TU981,Creative Digital Media,280,280,
TU982,Media Production and Digital Arts,369,320,
TU983,Film and Broadcasting,462,456,
TU984,Game Design,414,381,
TU985,Journalism,367,322,
TU989,Early Childhood Care and Education (campus options,270,,
TU991,Applied Social Studies in Social Care,326,325,
TU992,Community Development and Youth Work,251,251,
TU995,Early Childhood Education,378,367,
TU996,Social Care,407,400,
TU997,Applied Social Care,320,310,
TR002,Music,508,435,#414
TR003,History,552,497,486
TR004,Law,590*,566,532
TR005,Philosophy,510,442,391
TR006,Psychology,601*,567,555*
TR007,Clinical Speech and Language Studies,564*,529,499
TR009,Music Education,#496,420,#430
TR015,Philosophy  Political Science  Economics and Socio,613*,589,566
TR016,Deaf Studies,389,340,337
TR018,Law and French,602*,565,532*
TR019,Law and German,577,543,523
TR021,Classics  Ancient History and Archaeology,467,370,377
TR022,Early and Modern Irish,377,398,347
TR023,English Studies,546,487,463
TR024,European Studies,566,544,520
TR025,Drama and Theatre Studies,#543,564,#489
TR028,Ancient and Medieval History and Culture,498,342,339
TR031,Mathematics,579,531,566
TR032,Engineering,556,510,487*
TR033,Computer Science,566*,509,465*
TR034,Management Science and Information Systems Studies,625*,613,589*
TR035,Theoretical Physics,590,543,554
TR038,Engineering with Management,589*,532,499
TR039,Computer Science  Linguistics and a Language,443,454,435
TR040,Middle Eastern and European Languages and Cultures,520,466,485
TR041,Religion,417,368,347
TR042,Film,531,489,
TR043,History of Art and Architecture,498,393,
TR051,Medicine (HPAT required),#743*,735,#730
TR052,Dental Science,625*,613,590*
TR053,Physiotherapy,590*,566,533*
TR054,Occupational Therapy,578*,533,500
TR055,Radiation Therapy,577,543,510
TR056,Human Health and Disease,601*,565,543
TR060,Biological and Biomedical Sciences,578*,543,510*
TR061,Chemical Sciences,558,517,488*
TR062,Geography and Geoscience,495,473,435
TR063,Physical Sciences,554,498,498*
TR064,Environmental Science and Engineering,555,,
TR072,Pharmacy,613*,590,555*
TR080,Global Business,613*,589,565
TR081,Business  Economic and Social Studies (BESS),577,543,518*
TR084,Social Studies (Social Work),497,462,420*
TR085,Business Studies and French,564,540,509
TR086,Business Studies and German,530,509,474
TR087,Business Studies and Russian,487,474,467
TR089,Business Studies and Polish,391,444,393
TR090,Business Studies and Spanish,566,531,510
TR091,General Nursing (Meath and St James`s),462,429,393*
TR093,General Nursing (Adelaide School of Nursing),#473,430,#378*
TR095,Mental Health Nursing,442,408,358
TR097,Intellectual Disability Nursing,412,396,346
TR911,Children`s and General Nursing (Integrated),531*,511,476*
TR913,Midwifery,521,478,423
DN100,Architecture,555,510,473
DN120,Landscape Architecture,463,407,353
DN130,City Planning and Environmental Policy,445,407,367
DN150,Engineering (Common Entry),565*,531,511
DN200,Science (options),577,533,521
DN201,Computer Science (Common Entry),554,510,488
DN230,Actuarial and Financial Studies,613*,601,577
DN240,Sustainability,510,440,
DN250,Agricultural Science (options),454,456,420
DN261,Food Science,531,477,434
DN262,Human Nutrition,566,531,493
DN300,Veterinary Medicine - Undergraduate Entry,#601*,589,#567
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,#
DN310,Veterinary Nursing,521,478,441
DN400,Medicine - Undergraduate Entry (HPAT required),#743*,737,#735
DN401,Medicine - Graduate Entry (GAMSAT required),#61*,,#59*
DN410,Radiography,566*,534,507
DN411,Radiography - Graduate Entry,#,,#
DN420,Physiotherapy,601*,578,542
DN425,Health and Performance Science,544,510,488
DN430,Sport and Exercise Management,484,455,436
DN440,Biomedical  Health and Life Sciences,613*,590,565*
DN450,General Nursing,462*,429,398
DN451,Children`s and General Nursing (Integrated),533,509,462*
DN452,Midwifery,510,489,409
DN453,Mental Health Nursing,442,397,379
DN520,Joint Honours (options),381,310,336
DN530,Humanities (options),397,340,348
DN541,Modern Languages (options),320,303,348
DN600,Law (options),576,546,520*
DN610,Business and Law,573,545,521
DN650,Commerce,555,521,498*
DN660,Commerce International (options),555,517,507
DN670,Economics and Finance,625*,613,601
DN700,Social Sciences (options),475,421,388
DN710,Economics,534,498,476
DN720,Psychology,566,530,517
DN750,Social Policy and Sociology,421,378,330
DK810,Accounting and Finance,307,305,306
DK816,Business Studies,301,300,300
DK820,Computing in Games Development,309,311,307
DK821,Computing in Software Development,320,302,301
DK822,Augmented and Virtual Reality,320,307,
DK830,Building Surveying,305,336,302
DK831,Architectural Technology,368,389,301
DK832,Construction Management,358,387,300
DK843,Engineering (Common Entry),404,340,303
DK844,Mechanical Engineering,336,305,
DK845,Electrical and Electronic Engineering,331,304,
DK846,Civil Engineering,371,391,
DK850,International Tourism Management,303,317,
DK861,Arts,302,302,300
DK862,Social Care,322,301,300
DK863,Creative Media,336,308,300
DK864,Film and Television Production,308,300,300
DK865,Audio and Music Production,352,301,301
DK870,General Nursing,440*,403,392
DK872,Intellectual Disability Nursing,367,336,300
DK874,Mental Health Nursing,398,356,356
DK876,Early Childhood Studies,300,321,305
DK877,Midwifery,482,440,398*
DK880,Health and Physical Activity,301,328,300
DK882,Agriculture (Award options),342,310,303
DK883,Science (Award options),373,358,300
DK884,Sustainable Agriculture,348,,
DK885,Agri-Food Production,,,
DK886,Biopharmaceutical Science,379,301,
DK887,Environmental Science,377,330,
GA181,Accounting,303,309,303
GA182,Business,285,287,290
GA183,Business Information Systems,298,296,309
GA184,Marketing and Sales,300,307,307
GA185,Finance and Economics,318,293,307
GA186,Business with Entrepreneurship,287,280,297
GA187,Rural Enterprise and Agri-Business,291,281,280
GA281,Film and Documentary,310,304,287
GA282,Heritage Studies,252,220,238
GA283,Contemporary Art (portfolio),#790,679,260
GA284,Design,331,303,309
GA285,Education (Art  Design and Graphics),406,,
GA380,International Hotel Management,218,242,225
GA381,International Tourism Management,252,278,261
GA382,Culinary and Gastronomic Science,235,206,225
GA384,Event Management with Public Relations,230,212,209
GA480,Construction Management,302,260,260
GA482,Quantity Surveying and Construction Economics,304,288,280
GA483,Architectural Technology,281,265,251
GA484,Civil Engineering,377,290,270
GA580,Software and Electronic Engineering,300,300,301
GA680,Mechanical Engineering,400,330,336
GA681,Energy Engineering,312,293,281
GA682,Biomedical Engineering,331,313,331
GA683,Agricultural Engineering,304,309,301
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,340,346
GA685,Manufacturing Engineering Design,336,309,
GA780,Applied Freshwater and Marine Biology,366,327,300
GA781,Applied Biology and Biopharmaceutical Science,381,337,317
GA782,Chemical and Pharmaceutical Science,356,336,307
GA783,Physics and Instrumentation,301,363,373
GA784,Science (Undenominated),445,372,327
GA785,Medical Science,517,473,451
GA786,Forensic Science and Analysis,408,317,300
GA787,Computing in Software Development,310,270,275
GA788,Computing and Digital Media,270,274,270
GA789,Agriculture and Environmental Management,340,287,297
GA790,Sport and Exercise Science,376,356,350
GA791,Public Health Nutrition,368,368,364
GA880,General Nursing,440*,429,389*
GA882,Psychiatric Nursing,369,367,346
GA885,Outdoor Education,269,252,210
GA887,History and Geography,201,244,228
GA889,Applied Social Care,265,266,260
GA890,Early Childhood Education and Care,281,270,278
GA891,Geography and Outdoor Education,261,244,
GA892,Community Development and Youth Work (Level 8),,,
GA980,Education (Design Graphics and Construction),410,377,376
GA981,Furniture Design and Manufacture,346,,271
GA982,Furniture Making and Architectural Woodworking,360,,270
GA983,Furniture and Digital Manufacturing,,,
GA984,Furniture Design  Making and Technology - Common E,486,284,
GY101,Arts (Joint-Honours),327,300,300
GY104,BSc (Psychology),564,523,507
GY105,Arts (History),357,301,318
GY109,Arts (Mathematics and Education),413,403,411
GY110,Arts (Children and Youth Studies - options),387,357,382
GY111,Arts (English and Creative Writing),421,330,402
GY113,Arts with Human Rights,413,368,338
GY115,Arts with Performing Arts Studies,300,387,328
GY118,Arts (Drama  Theatre and Performance Studies),453,451,410
GY119,Arts (Journalism),484,400,410
GY122,Na Dána (Cumarsáid agus Gaeilge),410,361,308
GY123,Applied Social Sciences,419,358,357
GY125,Arts (Digital Arts and Technology),403,328,324
GY127,Arts (Film and Digital Media),430,401,387
GY128,Arts (Global Languages),346,352,370
GY129,Arts (Global Experience),465,420,408
GY130,Arts (Music),462,408,400
GY132,Government (Politics  Economics and Law),465,407,402
GY133,Education (Computer Science and Mathematical Studi,454,422,401
GY134,Geography and Geosystems,425,410,
GY135,Arts (Global Media),442,,
GY136,Na Dána (Léann Teanga - options),526,,
GY201,Commerce,476,433,420
GY202,Commerce (International) with French,520,484,484
GY203,Commerce (International) with German,518,489,489
GY204,Commerce (International) with Spanish,506,495,484
GY206,Business Information Systems (Work Placement and O,509,465,431
GY207,Commerce (Accounting) including optional Global Ex,543,509,486
GY208,Commerce (Gaeilge),508,473,473
GY209,Commerce (Global Experience),551,530,509
GY250,Law and Business,510,487,436
GY251,Law (BCL),542,499,473
GY252,Law (BCL) and Human Rights,565,520,510
GY253,Law and Taxation,506,509,
GY254,Law (BCL)  Criminology and Criminal Justice,548,530,
GY261,Business Studies in International Hotel Management,#503,497,#486
GY262,Commerce in International Hotel Management (interv,#709,681,#671
GY301,Science,489,433,400
GY303,Biomedical Science,613,556,533
GY304,Biotechnology,498,465,473
GY308,Environmental Science,431,408,413
GY309,Financial Mathematics and Economics,509,487,454
GY310,Marine Science,467,419,409
GY313,Environmental Health and Safety,412,412,402
GY314,Earth and Ocean Sciences,422,403,402
GY318,Biopharmaceutical Chemistry,555,509,510
GY319,Mathematical Science,543,476,456
GY320,Physics (Degree options: Applied Astrophysics Biom,465,402,401
GY321,Genetics and Genomics,532,508,
GY322,Agricultural Sciences,485,,
GY350,Computer Science and Information Technology,495,403,425
GY401,Engineering (Undenominated),522,465,444
GY402,Civil Engineering,533,455,509
GY405,Mechanical Engineering,541,454,443
GY406,Electronic and Computer Engineering,555,510,509
GY408,Biomedical Engineering,554,509,519
GY410,Project and Construction Management,431,403,434
GY413,Energy Systems Engineering,509,502,532
