code,title,points_r1_2021,points_r1_2020,points_r1_2019
CK111,Early Years and Childhood Studies,409.0,419.0,398
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,330.0,324
CK113,Criminology - 3 years or 4 years (International Pa,464.0,423.0,408
CK114,Social Science (Youth and Community Work),,,
CK115,Social Work - Mature Applicants only,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,336.0,307
CK120,Applied Psychology,544.0,533.0,506
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,466.0,393
CK122,Government and Political Science,399.0,337.0,355
CK123,Anthropology,308.0,308.0,
CK124,Education - Gaeilge,473.0,463.0,
CK125,Sports Studies and Physical Education,564.0,510.0,
CK201,Commerce,500.0,477.0,465
CK202,Accounting,553.0,509.0,467
CK203,Business Information Systems,455.0,430.0,409
CK204,Finance,566.0,556.0,531
CK205,Commerce (International) with French,465.0,445.0,409
CK206,Commerce (International) with German,466.0,420.0,408
CK207,Commerce (International) with Italian,423.0,388.0,408
CK208,Commerce (International) with Hispanic Studies,488.0,402.0,431
CK209,Commerce (International) with Irish,507.0,484.0,509
CK211,Commerce (International) with Chinese Studies,385.0,397.0,398
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0,400
CK213,Food Marketing and Entrepreneurship,466.0,462.0,
CK214,International Development,332.0,346.0,
CK301,Law (Pathways) -  3 or 4 years,533.0,507.0,476
CK302,Law and French,545.0,542.0,453
CK304,Law and Irish,588.0,540.0,462
CK307,Law and Business,589.0,556.0,522
CK401,Computer Science,503.0,468.0,402
CK402,Biological and Chemical Sciences,555.0,510.0,498
CK404,Biological  Earth and Environmental Sciences,500.0,467.0,412
CK405,Genetics,543.0,487.0,476
CK406,Chemical Sciences,532.0,485.0,457
CK407,Mathematical Sciences,566.0,566.0,531
CK408,Physics and Astrophysics,566.0,554.0,511
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0,413
CK411,Data Science and Analytics,531.0,510.0,509
CK412,Agricultural Science,506.0,496.0,457
CK504,Nutritional Sciences,555.0,518.0,492
CK505,Food Science,463.0,441.0,444
CK600,Engineering,510.0,487.0,465
CK606,Architecture - Offered jointly by UCC and CIT,543.0,484.0,465
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,731.0,729
CK702,Dentistry,625.0,613.0,590
CK703,Pharmacy,613.0,590.0,577
CK704,Occupational Therapy,601.0,566.0,532
CK705,Speech and Language Therapy,568.0,520.0,509
CK706,Public Health Sciences,500.0,454.0,419
CK707,Medical and Health Sciences,578.0,542.0,510
CK710,General Nursing,498.0,454.0,440
CK712,Children`s and General Nursing (Integrated),565.0,533.0,499
CK720,Mental Health Nursing,455.0,423.0,398
CK730,Intellectual Disability Nursing,431.0,419.0,359
CK740,Midwifery,509.0,484.0,444
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,57.0,58
AC120,International Business,294.0,209.0,234
AC137,Liberal Arts,271.0,252.0,252
CT125,Computing and IT,242.0,220.0,235
CT325,Business,253.0,338.0,
CM001,Education - Primary Teaching,508.0,484.0,452
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,,421
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,528.0,491
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,494.0,492
CM010,Education Studies,382.0,319.0,317
CM020,Early Childhood Education,317.0,327.0,336
DB500,Computing,234.0,218.0,242
DB501,Computing (Cloud Computing),,227.0,326
DB502,Computing (Data Analytics and Big Data),267.0,341.0,269
DB503,Computing (Software Development),,225.0,242
DB504,Computing (Web and Mobile Technology),,,227
DB510,Audio Production and Music Project Management,217.0,234.0,233
DB512,Business Studies,243.0,218.0,229
DB514,Business Studies (Law),239.0,252.0,269
DB515,Business Studies (Human Resource Management),242.0,244.0,225
DB517,Marketing (Event Management),233.0,238.0,226
DB518,Marketing (Digital Media),307.0,,210
DB521,Accounting and Finance,243.0,225.0,225
DB524,Business (Information Systems),247.0,342.0,402
DB525,Marketing (Digital Media and Cloud Computing),288.0,,284
DB526,Business (Cloud Computing),244.0,347.0,253
DB527,Applied Social Care,254.0,234.0,235
DB531,Marketing,288.0,293.0,220
DB562,Psychology,244.0,243.0,208
DB566,Social Science,262.0,220.0,216
DB567,Film and Creative Media,245.0,218.0,192
DB568,Law,254.0,219.0,245
DB569,Business (Psychology),240.0,252.0,279
DC001,Education - Early Childhood Education,445.0,440.0,398
DC002,Education - Primary Teaching,518.0,488.0,462
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,445.0,433
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,411.0,357
DC009,Arts (Joint Honours) - Humanities,356.0,376.0,347
DC010,Post Primary Teacher Education - Religious Educati,384.0,441.0,386
DC011,Post Primary Teacher Education - Religious Educati,409.0,412.0,352
DC012,Post Primary Teacher Education - Religious Educati,409.0,378.0,367
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,419.0,410
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,419.0,428
DC110,Business Studies International,498.0,465.0,440
DC111,Business Studies,511.0,488.0,463
DC112,Global Business (France),542.0,517.0,495
DC113,Global Business (Germany),484.0,462.0,440
DC114,Global Business (Spain),544.0,522.0,501
DC115,Accounting and Finance,544.0,510.0,487
DC116,Global Business (USA),613.0,579.0,578
DC117,Aviation Management / Aviation Management with Pil,484.0,476.0,463
DC118,Gná agus Gaeilge / Business and Irish,368.0,359.0,357
DC119,Global Business (Canada),601.0,564.0,566
DC120,Computing for Business,403.0,357.0,350
DC121,Computer Science,475.0,400.0,370
DC123,Data Science,501.0,465.0,467
DC126,Actuarial Mathematics,577.0,560.0,520
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,532.0,509
DC131,Communication Studies,421.0,407.0,400
DC132,Journalism,452.0,429.0,401
DC133,Multimedia,435.0,411.0,403
DC155,Applied Language and Translation Studies,427.0,387.0,371
DC161,Analytical Science,498.0,498.0,446
DC162,Chemical and Pharmaceutical Sciences,531.0,521.0,488
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,,
DC166,Environmental Science and Technology,423.0,433.0,412
DC168,Genetics and Cell Biology,543.0,512.0,489
DC175,Physics General Entry (options),400.0,419.0,
DC180,Biological Sciences General Entry (Undenominated E,530.0,,
DC181,Biotechnology,530.0,499.0,476
DC190,Electronic and Computer Engineering (with choice o,488.0,413.0,391
DC193,Mechatronic Engineering,490.0,411.0,404
DC194,Sustainable Systems and Energy,476.0,,
DC195,Mechanical and Manufacturing Engineering,500.0,425.0,401
DC197,Biomedical Engineering,510.0,423.0,402
DC200,Common Entry into Engineering (Undenominated Entry,511.0,422.0,381
DC202,Sport Science and Health,511.0,500.0,467
DC203,Science Education,462.0,435.0,424
DC204,Athletic Therapy and Training,558.0,522.0,484
DC205,Physical Education with Biology,565.0,531.0,490
DC206,Physical Education with Mathematics,521.0,499.0,443
DC207,Psychology and Mathematics,521.0,,
DC208,Psychology,565.0,532.0,509
DC209,Health and Society,477.0,465.0,419
DC210,Psychology and Disruptive Technologies,506.0,,
DC215,General Nursing,456.0,454.0,414
DC216,Mental Health Nursing,420.0,418.0,368
DC217,Intellectual Disability Nursing,382.0,370.0,347
DC218,Children`s and General Nursing (Integrated),521.0,500.0,467
DC230,Economics  Politics and Law,431.0,435.0,400
DC231,International Relations,398.0,397.0,387
DC232,Law and Society (BCL),469.0,466.0,453
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0,307
DC238,Social Sciences and Cultural Innovation,387.0,377.0,358
DC240,Marketing  Innovation and Technology,499.0,476.0,451
DC241,Digital Business and Innovation,509.0,,
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0,349
DC292,Arts (Joint Honours) - Law,400.0,403.0,356
DC293,Arts (Joint Honours) - International Languages,379.0,377.0,369
DC294,Climate and Environmental Sustainability,475.0,,
DC295,Arts (Joint Honours) - Politics,349.0,376.0,348
DL822,Arts Management,254.0,229.0,209
DL823,Business Management,220.0,235.0,260
DL825,Applied Psychology,418.0,379.0,349
DL826,Graphic Design,591.0,855.0,736
DL827,Art,574.0,572.0,583
DL832,Animation,989.0,920.0,855
DL833,Photography and Visual Media,671.0,650.0,636
DL836,Creative Computing,235.0,219.0,217
DL837,New Media Studies,298.0,201.0,290
DL838,Creative Music Production,713.0,754.0,746
DL839,Interaction and User Experience Design,757.0,683.0,
DL840,Digital Marketing,210.0,228.0,
DL841,English and Equality Studies,277.0,276.0,
DL843,Film,987.0,,
DL844,Television,566.0,,
DL845,Design for Film (degree options),628.0,,
GC200,Business,269.0,252.0,269
GC201,Accounting and Finance,260.0,303.0,251
GC230,Computing Science,300.0,335.0,228
GC300,Business,264.0,429.0,251
GC301,Accounting and Finance,,253.0,307
GC302,Business - HRM,377.0,,269
GC307,Business (Marketing),289.0,,
GC400,Business,250.0,248.0,246
GC401,Accounting and Finance,242.0,240.0,181
GC402,Business (HRM),,264.0,217
GC403,Law,245.0,244.0,225
GC407,Business (Marketing),264.0,280.0,246
GC430,Computing Science,251.0,252.0,217
GC450,Communications and Media Production,225.0,254.0,227
GC462,Design Communication (portfolio),300.0,,
GC489,Interior Architecture (portfolio),288.0,254.0,267
GC494,Fashion Design (portfolio),351.0,337.0,
BY001,Business,210.0,,
ID001,Accounting and Finance,,203.0,229
ID002,Business Studies,,294.0,285
AD101,First Year Art and Design (Common Entry portfolio),554.0,,
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,
AD103,Textile and Surface Design and Jewellery and Objec,505.0,,
AD202,Education and Design or Fine Art (Second Level Tea,591.0,,
AD204,Fine Art (portfolio),514.0,,
AD211,Fashion Design (portfolio),760.0,,
AD212,Product Design (portfolio),413.0,,
AD215,Visual Culture,337.0,377.0,300
AD217,Illustration (portfolio),738.0,,
AD222,Interaction Design (portfolio),444.0,,
NC003,Computing (Degree Award options),271.0,260.0,261
NC005,Human Resource Management,301.0,300.0,297
NC009,Business,300.0,300.0,297
NC010,Psychology,420.0,400.0,366
NC020,Marketing Practice,270.0,280.0,270
NC022,Accounting and Finance,330.0,337.0,338
NC023,Technology Management (with specialisations),266.0,261.0,260
NC030,Early Childhood Education and Care,251.0,,
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,733.0,729
RC004,Physiotherapy,589.0,566.0,532
RC005,Pharmacy,613.0,579.0,555
RC101,Medicine - Graduate Entry (GAMSAT required),,,60
NM801,Montessori Education,262.0,220.0,
NM802,Psychology,228.0,,
TU801,Sustainable Energy Engineering,235.0,235.0,
TU802,Electrical Services and Energy Management,309.0,317.0,
TU804,Engineering (Common Entry with Award options),270.0,271.0,
TU805,Engineering (General Entry),466.0,402.0,
TU807,Computer Engineering in Mobile Systems,274.0,276.0,
TU810,Mechatronic Engineering,271.0,270.0,
TU811,Product Design,440.0,411.0,
TU812,Design Technology and Innovation,278.0,270.0,
TU814,Sustainable Transport Management,253.0,285.0,
TU828,Mechanical Engineering (General Entry),300.0,,
TU829,Electronic Engineering (General Entry),248.0,,
TU831,Architectural Technology,423.0,410.0,
TU832,Architecture (Suitability Test and Interview),644.0,622.0,
TU833,Construction Management,396.0,367.0,
TU834,Geographic Science,315.0,288.0,
TU835,Planning and Environmental Management,330.0,313.0,
TU836,Property Economics (Valuation Surveying),411.0,401.0,
TU837,Quantity Surveying and Construction Economics,413.0,385.0,
TU838,Sustainable Timber Technology,307.0,,
TU851,Analytical Chemistry (Environmental  Forensic and,400.0,349.0,
TU852,Chemical Sciences with Medicinal Chemistry,477.0,476.0,
TU854,Science (General Entry),510.0,476.0,
TU855,Science with Nanotechnology,322.0,331.0,
TU856,Computer Science,499.0,476.0,
TU857,Computer Science (Infrastructure),403.0,391.0,
TU858,Computer Science (International),395.0,377.0,
TU859,Computing,251.0,217.0,
TU860,Computing (Information Technology),270.0,260.0,
TU861,Computing with Language (French/German/Spanish),235.0,308.0,
TU862,Computing with Artificial Intelligence Machine Lea,262.0,226.0,
TU863,Digital Forensics and Cyber Security,282.0,280.0,
TU864,DNA and Forensic Analysis,500.0,400.0,
TU865,Cloud Computing,235.0,226.0,
TU866,Biomedical and Molecular Diagnostics,522.0,487.0,
TU867,Biomedical Science,576.0,524.0,
TU868,Clinical Measurement Science,542.0,510.0,
TU869,Environmental Health,387.0,336.0,
TU870,Human Nutrition and Dietetics,601.0,578.0,
TU871,Optometry,532.0,509.0,
TU872,Public Health Nutrition,487.0,491.0,
TU874,Mathematical Sciences,294.0,341.0,
TU875,Pharmaceutical Healthcare,451.0,400.0,
TU876,Pharmaceutical Science,445.0,377.0,
TU877,Physics Technology,314.0,308.0,
TU878,Physics with Energy and Environment,339.0,337.0,
TU879,Physics with Medical Physics and Bioengineering,346.0,351.0,
TU880,Physics with Data Science,412.0,578.0,
TU881,Food Innovation,309.0,318.0,
TU882,Nutraceuticals in Health and Nutrition,380.0,397.0,
TU902,Business (options),270.0,271.0,
TU903,Business and Management,477.0,463.0,
TU904,Business and Law,462.0,462.0,
TU905,Economics and Finance,460.0,465.0,
TU906,Human Resource Management,386.0,395.0,
TU907,Logistics and Supply Chain Management,300.0,300.0,
TU910,Accounting,420.0,444.0,
TU912,Business Analytics,331.0,330.0,
TU914,Business Computing,322.0,324.0,
TU917,Law (LLB ) with a Language,356.0,342.0,
TU918,Law (LLB),463.0,451.0,
TU919,Advertising and Marketing Communications,219.0,228.0,
TU920,Digital Marketing,270.0,270.0,
TU921,Digital Marketing Technologies,230.0,212.0,
TU922,Marketing,412.0,418.0,
TU924,E-Commerce in Retailing,307.0,307.0,
TU925,Retail and Services Management,307.0,301.0,
TU932,Business (options),211.0,,
TU933,Accounting and Finance (campus options),251.0,,
TU935,Sports Management and Coaching,300.0,300.0,
TU936,Sports Science and Health,484.0,410.0,
TU941,Botanical Cuisine,311.0,249.0,
TU942,Culinary Arts,252.0,212.0,
TU943,Culinary Entrepreneurship,261.0,278.0,
TU944,Culinary Science,336.0,316.0,
TU951,International Hospitality and Tourism Management,244.0,184.0,
TU952,International Hospitality Management,309.0,300.0,
TU953,Tourism and Digital Marketing,308.0,290.0,
TU954,Event Management,326.0,356.0,
TU955,Sports and Leisure Management,275.0,217.0,
TU961,Commercial Modern Music (BIMM - assessment/auditio,536.0,608.0,
TU962,Drama (Performance  audition),448.0,379.0,
TU963,Music (audition),364.0,416.0,
TU965,International Business and Languages,357.0,356.0,
TU967,Languages and International Tourism,298.0,308.0,
TU973,Design - Visual Communication (portfolio),700.0,717.0,
TU974,Fine Art (portfolio),549.0,709.0,
TU975,Interior Design (portfolio),544.0,632.0,
TU976,Photography (portfolio),700.0,695.0,
TU978,Creative Industries and Visual Culture,299.0,,
TU981,Creative Digital Media,280.0,280.0,
TU982,Media Production and Digital Arts,369.0,320.0,
TU983,Film and Broadcasting,462.0,456.0,
TU984,Game Design,414.0,381.0,
TU985,Journalism,367.0,322.0,
TU989,Early Childhood Care and Education (campus options,270.0,,
TU991,Applied Social Studies in Social Care,326.0,325.0,
TU992,Community Development and Youth Work,251.0,251.0,
TU995,Early Childhood Education,378.0,367.0,
TU996,Social Care,407.0,400.0,
TU997,Applied Social Care,320.0,310.0,
TR002,Music,508.0,435.0,414
TR003,History,552.0,497.0,486
TR004,Law,590.0,566.0,532
TR005,Philosophy,510.0,442.0,391
TR006,Psychology,601.0,567.0,555
TR007,Clinical Speech and Language Studies,564.0,529.0,499
TR009,Music Education,496.0,420.0,430
TR015,Philosophy  Political Science  Economics and Socio,613.0,589.0,566
TR016,Deaf Studies,389.0,340.0,337
TR018,Law and French,602.0,565.0,532
TR019,Law and German,577.0,543.0,523
TR021,Classics  Ancient History and Archaeology,467.0,370.0,377
TR022,Early and Modern Irish,377.0,398.0,347
TR023,English Studies,546.0,487.0,463
TR024,European Studies,566.0,544.0,520
TR025,Drama and Theatre Studies,543.0,564.0,489
TR028,Ancient and Medieval History and Culture,498.0,342.0,339
TR031,Mathematics,579.0,531.0,566
TR032,Engineering,556.0,510.0,487
TR033,Computer Science,566.0,509.0,465
TR034,Management Science and Information Systems Studies,625.0,613.0,589
TR035,Theoretical Physics,590.0,543.0,554
TR038,Engineering with Management,589.0,532.0,499
TR039,Computer Science  Linguistics and a Language,443.0,454.0,435
TR040,Middle Eastern and European Languages and Cultures,520.0,466.0,485
TR041,Religion,417.0,368.0,347
TR042,Film,531.0,489.0,
TR043,History of Art and Architecture,498.0,393.0,
TR051,Medicine (HPAT required),743.0,735.0,730
TR052,Dental Science,625.0,613.0,590
TR053,Physiotherapy,590.0,566.0,533
TR054,Occupational Therapy,578.0,533.0,500
TR055,Radiation Therapy,577.0,543.0,510
TR056,Human Health and Disease,601.0,565.0,543
TR060,Biological and Biomedical Sciences,578.0,543.0,510
TR061,Chemical Sciences,558.0,517.0,488
TR062,Geography and Geoscience,495.0,473.0,435
TR063,Physical Sciences,554.0,498.0,498
TR064,Environmental Science and Engineering,555.0,,
TR072,Pharmacy,613.0,590.0,555
TR080,Global Business,613.0,589.0,565
TR081,Business  Economic and Social Studies (BESS),577.0,543.0,518
TR084,Social Studies (Social Work),497.0,462.0,420
TR085,Business Studies and French,564.0,540.0,509
TR086,Business Studies and German,530.0,509.0,474
TR087,Business Studies and Russian,487.0,474.0,467
TR089,Business Studies and Polish,391.0,444.0,393
TR090,Business Studies and Spanish,566.0,531.0,510
TR091,General Nursing (Meath and St James`s),462.0,429.0,393
TR093,General Nursing (Adelaide School of Nursing),473.0,430.0,378
TR095,Mental Health Nursing,442.0,408.0,358
TR097,Intellectual Disability Nursing,412.0,396.0,346
TR911,Children`s and General Nursing (Integrated),531.0,511.0,476
TR913,Midwifery,521.0,478.0,423
DN100,Architecture,555.0,510.0,473
DN120,Landscape Architecture,463.0,407.0,353
DN130,City Planning and Environmental Policy,445.0,407.0,367
DN150,Engineering (Common Entry),565.0,531.0,511
DN200,Science (options),577.0,533.0,521
DN201,Computer Science (Common Entry),554.0,510.0,488
DN230,Actuarial and Financial Studies,613.0,601.0,577
DN240,Sustainability,510.0,440.0,
DN250,Agricultural Science (options),454.0,456.0,420
DN261,Food Science,531.0,477.0,434
DN262,Human Nutrition,566.0,531.0,493
DN300,Veterinary Medicine - Undergraduate Entry,601.0,589.0,567
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,
DN310,Veterinary Nursing,521.0,478.0,441
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,737.0,735
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,,59
DN410,Radiography,566.0,534.0,507
DN411,Radiography - Graduate Entry,,,
DN420,Physiotherapy,601.0,578.0,542
DN425,Health and Performance Science,544.0,510.0,488
DN430,Sport and Exercise Management,484.0,455.0,436
DN440,Biomedical  Health and Life Sciences,613.0,590.0,565
DN450,General Nursing,462.0,429.0,398
DN451,Children`s and General Nursing (Integrated),533.0,509.0,462
DN452,Midwifery,510.0,489.0,409
DN453,Mental Health Nursing,442.0,397.0,379
DN520,Joint Honours (options),381.0,310.0,336
DN530,Humanities (options),397.0,340.0,348
DN541,Modern Languages (options),320.0,303.0,348
DN600,Law (options),576.0,546.0,520
DN610,Business and Law,573.0,545.0,521
DN650,Commerce,555.0,521.0,498
DN660,Commerce International (options),555.0,517.0,507
DN670,Economics and Finance,625.0,613.0,601
DN700,Social Sciences (options),475.0,421.0,388
DN710,Economics,534.0,498.0,476
DN720,Psychology,566.0,530.0,517
DN750,Social Policy and Sociology,421.0,378.0,330
DK810,Accounting and Finance,307.0,305.0,306
DK816,Business Studies,301.0,300.0,300
DK820,Computing in Games Development,309.0,311.0,307
DK821,Computing in Software Development,320.0,302.0,301
DK822,Augmented and Virtual Reality,320.0,307.0,
DK830,Building Surveying,305.0,336.0,302
DK831,Architectural Technology,368.0,389.0,301
DK832,Construction Management,358.0,387.0,300
DK843,Engineering (Common Entry),404.0,340.0,303
DK844,Mechanical Engineering,336.0,305.0,
DK845,Electrical and Electronic Engineering,331.0,304.0,
DK846,Civil Engineering,371.0,391.0,
DK850,International Tourism Management,303.0,317.0,
DK861,Arts,302.0,302.0,300
DK862,Social Care,322.0,301.0,300
DK863,Creative Media,336.0,308.0,300
DK864,Film and Television Production,308.0,300.0,300
DK865,Audio and Music Production,352.0,301.0,301
DK870,General Nursing,440.0,403.0,392
DK872,Intellectual Disability Nursing,367.0,336.0,300
DK874,Mental Health Nursing,398.0,356.0,356
DK876,Early Childhood Studies,300.0,321.0,305
DK877,Midwifery,482.0,440.0,398
DK880,Health and Physical Activity,301.0,328.0,300
DK882,Agriculture (Award options),342.0,310.0,303
DK883,Science (Award options),373.0,358.0,300
DK884,Sustainable Agriculture,348.0,,
DK885,Agri-Food Production,,,
DK886,Biopharmaceutical Science,379.0,301.0,
DK887,Environmental Science,377.0,330.0,
GA181,Accounting,303.0,309.0,303
GA182,Business,285.0,287.0,290
GA183,Business Information Systems,298.0,296.0,309
GA184,Marketing and Sales,300.0,307.0,307
GA185,Finance and Economics,318.0,293.0,307
GA186,Business with Entrepreneurship,287.0,280.0,297
GA187,Rural Enterprise and Agri-Business,291.0,281.0,280
GA281,Film and Documentary,310.0,304.0,287
GA282,Heritage Studies,252.0,220.0,238
GA283,Contemporary Art (portfolio),790.0,679.0,260
GA284,Design,331.0,303.0,309
GA285,Education (Art  Design and Graphics),406.0,,
GA380,International Hotel Management,218.0,242.0,225
GA381,International Tourism Management,252.0,278.0,261
GA382,Culinary and Gastronomic Science,235.0,206.0,225
GA384,Event Management with Public Relations,230.0,212.0,209
GA480,Construction Management,302.0,260.0,260
GA482,Quantity Surveying and Construction Economics,304.0,288.0,280
GA483,Architectural Technology,281.0,265.0,251
GA484,Civil Engineering,377.0,290.0,270
GA580,Software and Electronic Engineering,300.0,300.0,301
GA680,Mechanical Engineering,400.0,330.0,336
